1          TEST OF QUAD ON KAHANER 21

          ATTEMPED ACCURACY   1.000E-03



            N      TRUE           CALC         ERROR       EST ERR    JCALL     KWARN


            1   1.7182818651   1.7182825804  -7.153E-07   6.539E-06    13         0
            2    .6999999881    .6999986172   1.371E-06   3.398E-06    65         0
            3    .6666666865    .6657652855   9.014E-04   6.485E-04    17         0
            4    .4794282317    .4794318080  -3.576E-06   3.168E-05    13         0
            5   1.5822329521   1.5822820663  -4.911E-05   3.226E-04    17         0
            6    .4000000060    .4000185728  -1.857E-05   2.903E-05    15         0
            7   2.0000000000   1.9998348951   1.651E-04   4.576E-04    26         0
            8    .8669729829    .8669791222  -6.139E-06   5.987E-05    15         0
            9   1.1547006369   1.1546144485   8.619E-05   5.292E-04    95         0
           10    .6931471825    .6931497455  -2.563E-06   2.003E-05    13         0
           11    .3798854947    .3798854351   5.960E-08   3.318E-07    13         0
           12    .7775046229    .7775045633   5.960E-08   5.811E-08    13         0
           13    .0090986453    .0091409767  -4.233E-05   4.377E-04   381         0
           14    .5000002384    .4998455942   1.546E-04   4.740E-04    52         0
           15   1.0000000000   1.0000681877  -6.819E-05   4.863E-04    52         0
           16    .4993638098    .4994501173  -8.631E-05   4.635E-04    48         0
           17    .1121395677    .1120740548   6.551E-05   6.504E-04   185         0
           18    .8386763334    .8386821747  -5.841E-06   5.778E-04    57         0
           19  -1.0000000000  -1.0000329018   3.290E-05   2.165E-04    28         0
           20   1.5643965006   1.5643962622   2.384E-07   1.148E-04    19         0
           21    .2108027339    .2097787708   1.024E-03   3.021E-04    49         0
           22    .2108027339    .2108431906  -4.046E-05   3.061E-04    99         0
1          TEST OF QUAD ON KAHANER 21

          ATTEMPED ACCURACY   1.000E-06



            N      TRUE           CALC         ERROR       EST ERR    JCALL     KWARN


            1   1.7182818651   1.7182823420  -4.768E-07   3.834E-06    15         1
            2    .6999999881    .6999986172   1.371E-06   3.398E-06    65         1
            3    .6666666865    .6666666269   5.960E-08   4.611E-07    28         0
            4    .4794282317    .4794282615  -2.980E-08   3.414E-07    19         0
            5   1.5822329521   1.5822329521    .000E+00   6.524E-07    33         0
            6    .4000000060    .4000005424  -5.364E-07   9.184E-07    29         0
            7   2.0000000000   1.9999990463   9.537E-07   3.504E-06    42         1
            8    .8669729829    .8669730425  -5.960E-08   7.845E-07    19         0
            9   1.1547006369   1.1546949148   5.722E-06   9.882E-06   155         1
           10    .6931471825    .6931473017  -1.192E-07   1.920E-07    19         0
           11    .3798854947    .3798854351   5.960E-08   3.318E-07    13         0
           12    .7775046229    .7775045633   5.960E-08   5.811E-08    13         0
           13    .0090986453    .0090984497   1.956E-07   9.980E-07  1887         0
           14    .5000002384    .5000030994  -2.861E-06   1.030E-04    64         1
           15   1.0000000000   1.0000016689  -1.669E-06   6.545E-06    74         1
           16    .4993638098    .4993709624  -7.153E-06   2.193E-05    78         1
           17    .1121395677    .1121395677    .000E+00   6.896E-07   521         0
           18    .8386763334    .8386748433   1.490E-06   2.785E-06    97         1
           19  -1.0000000000  -1.0000002384   2.384E-07   1.155E-06    38         1
           20   1.5643965006   1.5643962622   2.384E-07   9.696E-07    29         0
           21    .2108027339    .2097361684   1.067E-03   3.754E-07   127         0
           22    .2108027339    .2108028233  -8.941E-08   3.699E-07   267         0
0    TEST OF QUAD ON F(X)=(2**A)/(1.+(X*(2**A))**2)
0          LIMITS -1.00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN
          26.0000      1.5708   -2.54E-02    1.51E+00      58       1
          27.0000      1.5708   -2.90E-03    1.50E+00      58       1
          28.0000      1.5708    5.56E-01    1.72E-01      54       1
          29.0000      1.5708   -5.24E-02    3.75E+00      54       1
          30.0000      1.5708   -2.32E-01    4.62E+00      50       1
          31.0000      1.5708    3.91E-02    3.35E-01      48       1
          32.0000      1.5708    4.18E-01    6.05E+00      48       1
          33.0000      1.5708    4.57E-01    7.86E+00      48       1
          34.0000      1.5708    2.60E-02    4.07E+00      48       1
          35.0000      1.5708   -8.40E-01    4.42E+00      48       1
          36.0000      1.5708   -1.48E+00    5.89E+00      48       1
          37.0000      1.5708   -9.49E-01    4.94E+00      46       1
          38.0000      1.5708    6.22E-02    2.97E+00      46       1
          39.0000      1.5708    7.77E-01    1.56E+00      46       1
          40.0000      1.5708    1.17E+00    7.91E-01      46       1
          41.0000      1.5708    1.37E+00    3.97E-01      46       1
          42.0000      1.5708    1.57E+00    7.58E-07      28       0
          43.0000      1.5708    1.57E+00    3.79E-07      28       0
          44.0000      1.5708    1.57E+00    1.90E-07      28       0
          45.0000      1.5708    1.57E+00    9.48E-08      28       0
          46.0000      1.5708    1.57E+00    4.74E-08      28       0
          47.0000      1.5708    1.57E+00    2.37E-08      28       0
          48.0000      1.5708    1.57E+00    1.18E-08      28       0
          49.0000      1.5708    1.57E+00    5.92E-09      28       0
0    TEST OF QUAD ON F(X)=X**A
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


          -1.0000************    3.40E+38    1.40E+00     157       1
           -.9900    100.0001    8.65E+01    1.21E+00     157       1
           -.9800     50.0000    3.74E+01    1.05E+00     157       1
           -.9700     33.3334    1.24E+01    3.92E+00      68       1
           -.9600     25.0000    6.65E+00    2.88E+00      68       1
           -.9500     20.0000    3.81E+00    2.12E+00      64       1
           -.9400     16.6667    2.27E+00    1.55E+00      64       1
           -.9300     14.2857    1.39E+00    1.14E+00      64       1
           -.9200     12.5000    8.70E-01    8.35E-01      64       1
           -.9100     11.1111    5.51E-01    6.10E-01      64       1
           -.9000     10.0000    3.53E-01    4.46E-01      62       1
           -.8900      9.0909    2.28E-01    3.25E-01      62       1
           -.8800      8.3333    1.48E-01    2.36E-01      60       1
           -.8700      7.6923    9.70E-02    1.71E-01      58       1
           -.8600      7.1429    6.36E-02    1.24E-01      54       1
           -.8500      6.6667    4.19E-02    8.94E-02      54       1
           -.8400      6.2500    2.76E-02    6.42E-02      58       1
           -.8300      5.8824    9.24E-03    4.90E-03      54       1
           -.8200      5.5556    5.68E-03    3.24E-03      54       1
           -.8100      5.2632    3.46E-03    2.11E-03      58       1
           -.8000      5.0000    2.08E-03    1.36E-03      54       1
           -.7500      4.0000    1.22E-04    1.28E-04      50       1
           -.7000      3.3333   -9.30E-06    1.76E-05      48       1
           -.6500      2.8571   -4.05E-06    1.35E-05      56       1
           -.6000      2.5000   -1.91E-06    4.67E-06      46       1
           -.5500      2.2222    1.19E-06    4.23E-06      42       1
           -.5000      2.0000    9.54E-07    3.50E-06      42       1
           -.4500      1.8182    2.38E-07    6.81E-07      42       0
           -.4000      1.6667   -3.58E-07    1.13E-06      38       1
           -.3500      1.5385   -2.38E-07    8.81E-07      38       0
           -.3000      1.4286   -1.19E-07    1.70E-06      36       1
           -.2500      1.3333    1.19E-07    3.02E-06      32       1
           -.2000      1.2500   -1.19E-07    1.04E-06      38       1
           -.1500      1.1765     .00E+00    8.39E-07      34       0
           -.1000      1.1111   -1.43E-06    1.95E-06      30       1
           -.0500      1.0526   -4.77E-07    5.10E-06      28       1
            .0000      1.0000     .00E+00    8.95E-08      22       0
            .1000       .9091   -1.19E-07    1.37E-06      30       1
            .2000       .8333   -5.96E-08    6.17E-07      28       0
            .3000       .7692    5.96E-08    7.67E-07      32       0
            .4000       .7143    1.79E-07    5.65E-07      32       0
            .5000       .6667    5.96E-08    4.61E-07      28       0
            .6000       .6250     .00E+00    6.09E-07      30       0
            .7000       .5882    2.98E-07    2.88E-06      28       1
            .8000       .5556    2.38E-07    1.75E-06      28       1
            .9000       .5263    5.96E-08    8.51E-07      28       0
           1.0000       .5000    2.98E-08    2.48E-09      13       0
           1.1000       .4762   -8.94E-08    5.66E-07      28       0
           1.2000       .4545   -1.49E-07    8.95E-07      28       0
           1.3000       .4348   -1.19E-07    8.86E-07      36       0
           1.4000       .4167   -1.49E-07    1.02E-06      36       1
           1.5000       .4000   -5.36E-07    9.18E-07      29       0
           1.6000       .3846   -3.28E-07    6.17E-07      29       0
           1.7000       .3704   -4.47E-07    7.75E-07      25       0
           1.8000       .3571   -2.09E-07    4.15E-07      25       0
           1.9000       .3448   -3.58E-07    1.53E-06      19       1
           2.0000       .3333    2.98E-08    1.04E-08      13       0
           2.2500       .3077    1.49E-07    4.17E-07      21       0
           2.5000       .2857    1.79E-07    3.49E-07      21       0
           2.7500       .2667    2.98E-08    1.03E-07      21       0
           3.0000       .2500   -2.98E-08    9.27E-09      13       0
           3.2500       .2353   -4.47E-08    2.44E-07      19       0
           3.5000       .2222   -4.47E-08    2.55E-07      19       0
           3.7500       .2105   -1.49E-08    1.44E-07      19       0
           4.0000       .2000    1.49E-08    3.00E-08      19       0
           4.2500       .1905    2.98E-08    9.43E-08      19       0
           4.5000       .1818    1.49E-08    1.31E-07      19       0
           4.7500       .1739     .00E+00    8.17E-08      19       0
           5.0000       .1667   -1.49E-08    8.53E-09      19       0
0    TEST OF QUAD ON F(X))=1.+COS(A*PI*X)
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .2500      1.9003   -1.19E-07    9.45E-07      21       0
            .5000      1.6366     .00E+00    1.08E-07      19       0
            .7500      1.3001   -1.19E-07    2.17E-07      19       0
           1.0000      1.0000     .00E+00    7.19E-07      17       0
           1.2500       .8199   -5.96E-08    1.20E-06      23       1
           1.5000       .7878     .00E+00    6.37E-08      25       0
           1.7500       .8714    1.19E-07    1.66E-07      29       0
           2.0000      1.0000    1.19E-07    3.08E-07      25       0
           2.2500      1.1000    2.38E-07    5.54E-07      29       0
           2.5000      1.1273    2.38E-07    1.00E-06      29       1
           2.7500      1.0818     .00E+00    5.03E-07      33       0
           3.0000      1.0000     .00E+00    1.37E-07      17       0
           3.2500       .9307   -1.79E-07    1.40E-06      33       1
           3.5000       .9091   -5.96E-08    1.80E-07      37       0
           3.7500       .9400   -5.96E-08    4.82E-07      53       0
           4.0000      1.0000     .00E+00    5.45E-07      49       0
           4.2500      1.0530   -1.19E-07    1.34E-06      41       1
           4.5000      1.0707   -1.19E-07    1.29E-06      69       1
           4.7500      1.0474   -1.19E-07    4.45E-07      45       0
           5.0000      1.0000    5.96E-08    2.05E-07      45       0
           5.2500       .9571    1.79E-07    2.73E-07      61       0
           5.5000       .9421   -1.19E-07    3.13E-07      49       0
           5.7500       .9609    4.17E-07    5.11E-07      53       0
           6.0000      1.0000     .00E+00    1.80E-07      21       0
           6.2500      1.0360    2.38E-07    1.97E-06      65       1
           6.5000      1.0490     .00E+00    2.40E-06      65       1
           6.7500      1.0333     .00E+00    1.36E-06      77       1
           7.0000      1.0000    2.98E-07    2.00E-06      65       1
           7.2500       .9690    3.58E-07    3.21E-06      69       1
           7.5000       .9576   -2.38E-07    9.38E-07      73       0
           7.7500       .9710   -5.36E-07    2.09E-06      69       1
           8.0000      1.0000   -2.38E-07    7.74E-07      77       0
           8.2500      1.0273    1.19E-07    8.18E-07      77       0
           8.5000      1.0374   -2.38E-07    1.40E-06      81       1
           8.7500      1.0257    1.19E-07    1.92E-06      93       1
           9.0000      1.0000     .00E+00    2.28E-07      17       0
           9.2500       .9757    2.38E-07    1.65E-06      81       1
           9.5000       .9665    1.79E-07    2.10E-06      89       1
           9.7500       .9769   -2.98E-07    1.67E-06     117       1
          10.0000      1.0000    2.38E-07    2.02E-06      93       1
          10.2500      1.0220   -3.58E-07    2.38E-06      89       1
          10.5000      1.0303   -2.38E-07    2.41E-06     105       1
          10.7500      1.0209   -4.77E-07    3.05E-06     109       1
          11.0000      1.0000    1.79E-07    2.34E-06      97       1
          11.2500       .9800    5.96E-08    3.68E-06      85       1
          11.5000       .9723   -4.17E-07    3.49E-06      81       1
          11.7500       .9808   -2.98E-07    2.94E-06      81       1
          12.0000      1.0000   -1.19E-07    4.49E-07      53       0
          12.2500      1.0184    3.58E-07    7.71E-07     105       0
          12.5000      1.0255   -1.19E-07    5.04E-06     141       1
          12.7500      1.0177   -1.19E-07    4.85E-06     133       1
          13.0000      1.0000   -1.79E-07    4.70E-06     121       1
          13.2500       .9830    6.56E-07    4.14E-06     133       1
          13.5000       .9764    3.58E-07    5.04E-06     149       1
          13.7500       .9836    5.96E-08    4.96E-06     133       1
          14.0000      1.0000   -1.19E-07    5.42E-06      93       1
          14.2500      1.0158    3.58E-07    4.90E-06     157       1
          14.5000      1.0220   -2.38E-07    3.31E-06     137       1
          14.7500      1.0153    3.58E-07    3.43E-06     141       1
          15.0000      1.0000     .00E+00    8.74E-07      61       0
          15.2500       .9852    5.96E-08    4.71E-06     157       1
          15.5000       .9795   -5.36E-07    5.11E-06     173       1
          15.7500       .9857    4.17E-07    4.41E-06     169       1
          16.0000      1.0000     .00E+00    8.28E-07     169       0
          16.2500      1.0139    1.19E-07    1.04E-06     169       1
          16.5000      1.0193     .00E+00    7.54E-07     149       0
          16.7500      1.0134    3.58E-07    1.72E-06     169       1
          17.0000      1.0000   -7.75E-07    1.65E-06     113       1
          17.2500       .9870   -2.38E-07    2.58E-06     149       1
          17.5000       .9818    3.58E-07    1.45E-06     153       1
          17.7500       .9873    5.96E-08    1.21E-06     169       1
          18.0000      1.0000     .00E+00    5.86E-07      29       0
          18.2500      1.0123   -1.19E-07    1.64E-06     185       1
          18.5000      1.0172     .00E+00    2.07E-06     169       1
          18.7500      1.0120     .00E+00    2.31E-06     177       1
          19.0000      1.0000    1.25E-06    1.83E-06     129       1
          19.2500       .9883   -2.98E-07    2.07E-06     173       1
          19.5000       .9837     .00E+00    2.58E-06     189       1
          19.7500       .9886    2.98E-07    3.28E-06     177       1
          20.0000      1.0000   -1.19E-07    2.99E-06     155       1
          35.5000       .9910    2.38E-07    2.68E-06     349       1
          35.5500       .9912   -1.67E-06    3.69E-06     309       1
          35.6000       .9915   -7.65E-01    5.77E-06      13       1
          35.6500       .9920   -8.18E-01    3.46E-06      13       1
          35.7000       .9928   -6.29E-01    3.86E-06     109       1
          35.7500       .9937   -6.41E-01    1.22E-06     117       1
          35.8000       .9948   -9.41E-01    5.04E-07      13       0
          35.8500       .9960   -6.58E-01    1.43E-06     137       1
          35.9000       .9973   -6.64E-01    7.88E-07     117       0
          35.9500       .9986   -9.97E-01    9.86E-08      13       0
          36.0000      1.0000   -1.00E+00    2.98E-08      13       0
          36.0500      1.0014   -9.95E-01    1.30E-07      13       0
          36.1000      1.0027   -6.60E-01    1.06E-06     117       1
          36.1500      1.0040   -6.53E-01    1.46E-06     133       1
          36.2000      1.0052   -6.44E-01    1.13E-06     141       1
          36.2500      1.0062   -8.94E-01    1.06E-06      13       1
          36.3000      1.0071   -6.19E-01    2.70E-06     113       1
          36.3500      1.0078   -3.23E-01    3.71E-06     261       1
          36.4000      1.0083   -7.49E-01    5.80E-06      13       1
          36.4500      1.0086    9.54E-07    4.66E-06     327       1
          36.5000      1.0087    5.96E-07    2.10E-06     297       1
0    TEST OF QUAD ON F(X)=(2**A)*EXP(-(2**A)*X)
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0000       .6321   -2.38E-07    1.93E-06      15       1
           1.0000       .8647   -5.96E-08    2.99E-08      19       0
           2.0000       .9817    5.96E-08    3.37E-07      23       0
           3.0000       .9997   -1.79E-07    2.99E-07      29       0
           4.0000      1.0000   -3.58E-07    4.25E-07      41       0
           5.0000      1.0000   -3.58E-07    4.27E-07      53       0
           6.0000      1.0000   -3.58E-07    4.27E-07      63       0
           7.0000      1.0000   -3.58E-07    6.37E-06      74       1
           8.0000      1.0000   -1.07E-06    5.15E-06      74       1
           9.0000      1.0000   -4.29E-06    1.90E-05      70       1
          10.0000      1.0000    1.32E-05    2.55E-05      72       1
          11.0000      1.0000   -5.96E-07    7.12E-05      68       1
          12.0000      1.0000    6.37E-05    1.92E-04      68       1
          13.0000      1.0000   -3.18E-05    3.71E-04      56       1
          14.0000      1.0000    7.69E-06    3.57E-04      56       1
          15.0000      1.0000    1.24E-05    3.92E-04      56       1
          16.0000      1.0000   -1.66E-02    1.85E-02      52       1
          17.0000      1.0000   -4.53E-06    2.51E-03      52       1
          18.0000      1.0000    8.02E-03    5.29E-02      48       1
          19.0000      1.0000    1.00E+00     .00E+00      20       0
          20.0000      1.0000    1.00E+00     .00E+00      20       0
          21.0000      1.0000    1.00E+00     .00E+00      20       0
          22.0000      1.0000    1.00E+00     .00E+00      20       0
          23.0000      1.0000    1.00E+00     .00E+00      20       0
          24.0000      1.0000    1.00E+00     .00E+00      20       0
0    TEST OF QUAD ON F(X)=(2**A)**2*X*EXP(-(2**A)*X)
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0000       .2642     .00E+00    2.95E-08      19       0
0    TEST OF QUAD ON F(X)=B*EXP(-B**2*(X-A)**2)
                 B   2.00
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0200       .9213    1.19E-07    1.27E-07      25       0
            .0400       .9602     .00E+00    2.11E-07      25       0
            .0600       .9987   -5.96E-08    1.71E-07      25       0
            .0800      1.0367     .00E+00    3.75E-07      29       0
            .1000      1.0739    1.19E-07    3.37E-07      29       0
            .1200      1.1103    2.38E-07    4.02E-07      29       0
            .1400      1.1458    3.58E-07    5.17E-07      29       0
            .1600      1.1801    1.19E-07    2.03E-07      23       0
            .1800      1.2132     .00E+00    4.54E-07      23       0
            .2000      1.2449    1.19E-07    2.54E-07      25       0
            .2200      1.2752    1.19E-07    3.34E-07      25       0
            .2400      1.3038    1.19E-07    2.33E-07      25       0
            .2600      1.3307    2.38E-07    9.55E-07      23       0
            .2800      1.3558    3.58E-07    4.05E-06      21       1
            .3000      1.3791    2.38E-07    4.20E-06      21       1
            .3200      1.4004    2.38E-07    2.85E-06      23       1
            .3400      1.4196    1.19E-07    1.89E-06      23       1
            .3600      1.4367    1.19E-07    1.40E-06      23       1
            .3800      1.4517    1.19E-07    4.45E-07      23       0
            .4000      1.4644     .00E+00    6.36E-07      23       0
            .4200      1.4749     .00E+00    1.25E-06      23       1
            .4400      1.4831    1.19E-07    7.88E-07      23       0
            .4600      1.4889   -1.19E-07    2.86E-06      23       1
            .4800      1.4925    1.19E-07    2.11E-07      25       0
            .5000      1.4936    1.19E-07    2.27E-07      25       0
0    TEST OF QUAD ON F(X)=B*EXP(-B**2*(X-A)**2)
                 B   4.00
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0200       .9661     .00E+00    4.89E-07      37       0
            .0400      1.0449     .00E+00    2.34E-08      41       0
            .0600      1.1217     .00E+00    4.74E-07      33       0
            .0800      1.1956    2.38E-07    3.79E-07      33       0
            .1000      1.2659     .00E+00    2.43E-07      33       0
            .1200      1.3318     .00E+00    3.20E-07      37       0
            .1400      1.3928   -1.19E-07    1.79E-07      41       0
            .1600      1.4486   -1.19E-07    1.30E-07      37       0
            .1800      1.4990   -3.58E-07    1.79E-07      41       0
            .2000      1.5439   -3.58E-07    3.43E-07      37       0
            .2200      1.5834   -1.19E-07    2.75E-07      37       0
            .2400      1.6177     .00E+00    1.78E-07      37       0
            .2600      1.6472     .00E+00    3.88E-07      37       0
            .2800      1.6721     .00E+00    2.79E-07      37       0
            .3000      1.6929    3.58E-07    1.06E-06      37       1
            .3200      1.7101    1.19E-07    2.29E-07      41       0
            .3400      1.7240     .00E+00    3.00E-07      49       0
            .3600      1.7352     .00E+00    7.92E-07      37       0
            .3800      1.7441     .00E+00    3.14E-07      41       0
            .4000      1.7509   -2.38E-07    2.26E-07      37       0
            .4200      1.7560   -1.19E-07    2.81E-07      41       0
            .4400      1.7597   -2.38E-07    2.07E-07      41       0
            .4600      1.7622   -1.19E-07    2.28E-07      33       0
            .4800      1.7637   -4.77E-07    2.14E-07      37       0
            .5000      1.7642   -2.38E-07    6.79E-06      37       1
0    TEST OF QUAD ON F(X)=B*EXP(-B**2*(X-A)**2)
                 B   8.00
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0200      1.0449   -1.19E-07    3.06E-08      55       0
            .0400      1.1956    2.38E-07    4.00E-07      47       0
            .0600      1.3318     .00E+00    3.86E-07      51       0
            .0800      1.4486   -1.19E-07    5.14E-07      49       0
            .1000      1.5439   -4.77E-07    4.96E-07      53       0
